Store,Dept,Date,Predicted_Sales
1,1,2012-11-02,16436.017999999996
1,1,2012-11-09,16436.017999999996
1,1,2012-11-16,16436.017999999996
1,1,2012-11-23,16436.017999999996
1,1,2012-11-30,16436.017999999996
1,1,2012-12-07,16436.017999999996
1,1,2012-12-14,16436.017999999996
1,1,2012-12-21,16436.017999999996
1,1,2012-12-28,16436.017999999996
1,1,2013-01-04,16436.017999999996
1,1,2013-01-11,16436.017999999996
1,1,2013-01-18,16436.017999999996
1,1,2013-01-25,16436.017999999996
1,1,2013-02-01,16436.017999999996
1,1,2013-02-08,16436.017999999996
1,1,2013-02-15,16436.017999999996
1,1,2013-02-22,16436.017999999996
1,1,2013-03-01,16436.017999999996
1,1,2013-03-08,16436.017999999996
1,1,2013-03-15,16436.017999999996
1,1,2013-03-22,16436.017999999996
1,1,2013-03-29,16436.017999999996
1,1,2013-04-05,16436.017999999996
1,1,2013-04-12,16436.017999999996
1,1,2013-04-19,16436.017999999996
1,1,2013-04-26,16436.017999999996
1,1,2013-05-03,13818.221875000003
1,1,2013-05-10,13818.221875000003
1,1,2013-05-17,13818.221875000003
1,1,2013-05-24,13818.221875000003
1,1,2013-05-31,13818.221875000003
1,1,2013-06-07,13818.221875000003
1,1,2013-06-14,13818.221875000003
1,1,2013-06-21,13818.221875000003
1,1,2013-06-28,13818.221875000003
1,1,2013-07-05,13818.221875000003
1,1,2013-07-12,13818.221875000003
1,1,2013-07-19,13818.221875000003
1,1,2013-07-26,13818.221875000003
1,2,2012-11-02,16436.017999999996
1,2,2012-11-09,16436.017999999996
1,2,2012-11-16,16436.017999999996
1,2,2012-11-23,16436.017999999996
1,2,2012-11-30,16436.017999999996
1,2,2012-12-07,16436.017999999996
1,2,2012-12-14,16436.017999999996
1,2,2012-12-21,16436.017999999996
1,2,2012-12-28,16436.017999999996
1,2,2013-01-04,16436.017999999996
1,2,2013-01-11,16436.017999999996
1,2,2013-01-18,16436.017999999996
1,2,2013-01-25,16436.017999999996
1,2,2013-02-01,16436.017999999996
1,2,2013-02-08,16436.017999999996
1,2,2013-02-15,16436.017999999996
1,2,2013-02-22,16436.017999999996
1,2,2013-03-01,16436.017999999996
1,2,2013-03-08,16436.017999999996
1,2,2013-03-15,16436.017999999996
1,2,2013-03-22,16436.017999999996
1,2,2013-03-29,16436.017999999996
1,2,2013-04-05,16436.017999999996
1,2,2013-04-12,16436.017999999996
1,2,2013-04-19,16436.017999999996
1,2,2013-04-26,16436.017999999996
1,2,2013-05-03,13818.221875000003
1,2,2013-05-10,13818.221875000003
1,2,2013-05-17,13818.221875000003
1,2,2013-05-24,13818.221875000003
1,2,2013-05-31,13818.221875000003
1,2,2013-06-07,13818.221875000003
1,2,2013-06-14,13818.221875000003
1,2,2013-06-21,13818.221875000003
1,2,2013-06-28,13818.221875000003
1,2,2013-07-05,13818.221875000003
1,2,2013-07-12,13818.221875000003
1,2,2013-07-19,13818.221875000003
1,2,2013-07-26,13818.221875000003
1,3,2012-11-02,16436.017999999996
1,3,2012-11-09,16436.017999999996
1,3,2012-11-16,16436.017999999996
1,3,2012-11-23,16436.017999999996
1,3,2012-11-30,16436.017999999996
1,3,2012-12-07,16436.017999999996
1,3,2012-12-14,16436.017999999996
1,3,2012-12-21,16436.017999999996
1,3,2012-12-28,16436.017999999996
1,3,2013-01-04,16436.017999999996
1,3,2013-01-11,16436.017999999996
1,3,2013-01-18,16436.017999999996
1,3,2013-01-25,16436.017999999996
1,3,2013-02-01,16436.017999999996
1,3,2013-02-08,16436.017999999996
1,3,2013-02-15,16436.017999999996
1,3,2013-02-22,16436.017999999996
1,3,2013-03-01,16436.017999999996
1,3,2013-03-08,16436.017999999996
1,3,2013-03-15,16436.017999999996
1,3,2013-03-22,16436.017999999996
1,3,2013-03-29,16436.017999999996
1,3,2013-04-05,16436.017999999996
1,3,2013-04-12,16436.017999999996
1,3,2013-04-19,16436.017999999996
1,3,2013-04-26,16436.017999999996
1,3,2013-05-03,13818.221875000003
1,3,2013-05-10,13818.221875000003
1,3,2013-05-17,13818.221875000003
1,3,2013-05-24,13818.221875000003
1,3,2013-05-31,13818.221875000003
1,3,2013-06-07,13818.221875000003
1,3,2013-06-14,13818.221875000003
1,3,2013-06-21,13818.221875000003
1,3,2013-06-28,13818.221875000003
1,3,2013-07-05,13818.221875000003
1,3,2013-07-12,13818.221875000003
1,3,2013-07-19,13818.221875000003
1,3,2013-07-26,13818.221875000003
1,4,2012-11-02,16436.017999999996
1,4,2012-11-09,16436.017999999996
1,4,2012-11-16,16436.017999999996
1,4,2012-11-23,16436.017999999996
1,4,2012-11-30,16436.017999999996
1,4,2012-12-07,16436.017999999996
1,4,2012-12-14,16436.017999999996
1,4,2012-12-21,16436.017999999996
1,4,2012-12-28,16436.017999999996
1,4,2013-01-04,16436.017999999996
1,4,2013-01-11,16436.017999999996
1,4,2013-01-18,16436.017999999996
1,4,2013-01-25,16436.017999999996
1,4,2013-02-01,16436.017999999996
1,4,2013-02-08,16436.017999999996
1,4,2013-02-15,16436.017999999996
1,4,2013-02-22,16436.017999999996
1,4,2013-03-01,16436.017999999996
1,4,2013-03-08,16436.017999999996
1,4,2013-03-15,16436.017999999996
1,4,2013-03-22,16436.017999999996
1,4,2013-03-29,16436.017999999996
1,4,2013-04-05,16436.017999999996
1,4,2013-04-12,16436.017999999996
